method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio
dct,cover_vs_stego,0.045000000000000005,0.05,0.44333333333333336,0.5166666666666667,15,15,15,0.3983333333333334,0.475,0.1699439683570805,0.04387934394902487,0.08600351414008874,0.9333333333333333,0.4666666666666667,0.5,0.2288688541085317,0.059093684028527875,0.11582362069591463,0.2002777777777778,0.04341532982942236,,,,
dct,pre_secret_vs_secret,,,,,15,15,15,1.23,0.85,0.9770674051905088,0.252277719228329,0.4944643296875248,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.6159444444444445,0.2470398567732905,0.03833333333333334,0.11666666666666667,1.2683333333333335,0.25
dwt,cover_vs_stego,0.045000000000000005,0.05,0.43333333333333335,0.5166666666666667,15,15,15,0.3883333333333333,0.45,0.18464895909600493,0.04767615623155744,0.09344526621385257,0.9333333333333333,0.4666666666666667,0.5,0.18580583823930164,0.047974861141928296,0.09403072783817946,0.1970555555555555,0.04812466547582948,,,,
dwt,pre_secret_vs_secret,,,,,15,15,15,0.14166666666666666,0.125,0.0994029797388005,0.02566573900611784,0.050304848451990965,1.0,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.07175,0.025370952550768235,0.03833333333333334,0.11666666666666667,0.18000000000000002,0.23333333333333334
lsb,cover_vs_stego,0.045000000000000005,0.05,0.3700000000000001,0.4166666666666667,15,15,15,0.32500000000000007,0.44999999999999996,0.21149974670704183,0.054608999781564,0.10703363957186544,0.9285714285714286,0.36666666666666664,0.5,0.2813657169355689,0.0726483157256779,0.1423906988223287,0.1645277777777778,0.05435302936575447,,,,
lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
original,cover_vs_stego,0.045000000000000005,0.05,0.37000000000000005,0.4166666666666667,15,15,15,0.32500000000000007,0.44999999999999996,0.20550460544022575,0.0530610609625947,0.1039996794866856,0.9333333333333333,0.36666666666666664,0.5,0.26502470684465484,0.06842908506285673,0.1341210067231992,0.16652777777777775,0.05326398888879501,,,,
original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.05333333333333334,0.06666666666666667,15,15,15,0.008333333333333333,0.025,0.1341862600304233,0.03464674335917916,0.06790761698399116,0.7272727272727273,0.016666666666666666,0.0,0.14840420992616593,0.038317802236740674,0.07510289238401172,0.0047777777777777775,0.034626764500211196,,,,
spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,5.978333333333334,6.325,0.9039529591637788,0.23339965043974856,0.45746331486190717,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,3.0033055555555555,0.23296066152045794,0.03833333333333334,0.11666666666666667,6.016666666666666,0.25
statistical,cover_vs_stego,0.045000000000000005,0.05,0.39499999999999996,0.43333333333333335,15,15,15,0.35,0.45,0.20723520109148583,0.05350789883835131,0.10487548172316856,0.9333333333333333,0.38333333333333336,0.5,0.2813657169355689,0.0726483157256779,0.1423906988223287,0.1779444444444445,0.05345022157502954,,,,
statistical,pre_secret_vs_secret,,,,,15,15,15,0.07333333333333333,0.049999999999999996,0.12972039528301227,0.03349366203963664,0.06564757759768781,0.8461538461538461,0.08333333333333333,0.0,0.12198750911856666,0.031497039417435604,0.061734197258173786,0.03691666666666667,0.032903207487461804,0.03833333333333334,0.11666666666666667,0.11166666666666665,0.2
