ablation_idx,method,delta,block_size,rep,label,ber_text,text_acc,band,gain,threshold
0,spread_spectrum,,,,ss_g200,0.0,1.0,,200.0,
0,statistical,,4.0,,stat_b4_t200,0.0,1.0,,,200.0
1,spread_spectrum,,,,ss_g150,0.0,1.0,,150.0,
1,statistical,,4.0,,stat_b4_t80,0.0,1.0,,,80.0
2,spread_spectrum,,,,ss_g150,0.0,1.0,,150.0,
2,statistical,,4.0,,stat_b4_t80,0.0,1.0,,,80.0
3,spread_spectrum,,,,ss_g150,0.0,1.0,,150.0,
3,statistical,,4.0,,stat_b4_t80,0.0,1.0,,,80.0
4,spread_spectrum,,,,ss_g150,0.0,1.0,,150.0,
4,statistical,,4.0,,stat_b4_t80,0.0,1.0,,,80.0
5,spread_spectrum,,,,ss_g150,0.0,1.0,,150.0,
5,statistical,,4.0,,stat_b4_t80,0.0,1.0,,,80.0
6,spread_spectrum,,,,ss_g150,0.0,1.0,,150.0,
6,statistical,,4.0,,stat_b4_t80,0.0,1.0,,,80.0
1,dct,200.0,4.0,1.0,dct_d200_rep1,0.4,0.6,,,
2,dct,200.0,4.0,1.0,dct_d200_rep1,0.4,0.6,,,
4,dct,200.0,4.0,1.0,dct_d200_rep1,0.4,0.6,,,
6,dct,200.0,4.0,1.0,dct_d200_rep1,0.4,0.6,,,
4,dwt,300.0,,1.0,dwt_LH_d300_rep1,0.6,0.4,LH,,
6,dwt,300.0,,1.0,dwt_LH_d300_rep1,0.6,0.4,LH,,
3,dct,200.0,4.0,3.0,dct_d200_rep3,0.8,0.2,,,
5,dct,200.0,4.0,3.0,dct_d200_rep3,0.8,0.2,,,
0,dct,200.0,4.0,1.0,dct_d200_rep1,1.0,0.0,,,
0,dwt,200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,LL,,
1,dwt,200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,LL,,
2,dwt,200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,LL,,
3,dwt,200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,LL,,
5,dwt,200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,LL,,
